"press" "height" "temp" "dewpt" "rh" "uwind" "vwind" "wwind" "wspd" "dir"
"1" 878.5421875 1246.02258300781 16.4877331733821 11.2683774760645 75.9481468105229 0.0455099828541279 7.6124039043075 124.055702802521 -6.30688405036926 4.26285195350647
"2" 830.038828125 1728.39392089844 13.8833891185396 10.5348770907977 84.9744091557517 0.0607382748275995 8.61254599840582 123.911538851008 -7.14761543273926 4.80494976043701
"3" 783.8265625 2210.76525878906 11.4721128268414 9.70361298449333 93.5051321512606 0.0573800764977932 9.12459857081496 123.07430786855 -7.64614796638489 4.97942972183228
"4" 739.838046875 2693.13659667969 9.2717445474816 8.5074571356048 99.0008319695339 0.0342279449105263 8.56041477537266 119.81867623176 -7.42710590362549 4.25661826133728
"5" 698.00796875 3175.5078125 7.30930303868632 6.75590030790374 99.1702181748222 0.00250065559521317 7.6457059267118 110.777647668125 -7.14850544929504 2.71213734149933
"6" 658.262265625 3657.87915039062 5.52313258135996 4.09972900050325 91.8780874154514 -0.0240332665853202 6.88559246428828 100.013908516234 -6.78071713447571 1.19718784093857
"7" 620.5119140625 4140.25048828125 3.58442804812711 0.740089831197835 81.7621415499898 -0.0383015088737011 6.19297483461918 91.7036079654865 -6.19024133682251 0.183982320129871
"8" 584.6403125 4622.62182617188 1.42151979554575 -3.15241941251371 71.1957139270944 -0.0380047615617514 5.36918635881123 84.5869004365091 -5.34523057937622 -0.506628274917603
"9" 550.5390625 5104.9931640625 -1.00115342758727 -7.13218818052017 61.3675212774697 -0.0266344761475921 4.40912785510813 77.5448641166145 -4.30533671379089 -0.951043754816055
"10" 518.116171875 5587.3642578125 -3.60833555541086 -11.3421150359663 53.8524210673347 -0.0104788732714951 3.50726497181154 71.1490254498261 -3.31911361217499 -1.13331037759781
"11" 487.295 6069.73559570312 -6.31069542249344 -15.4682502211447 48.1185967836316 0.00403706822544336 2.75197978518334 58.9113927982768 -2.35667145252228 -1.42108845710754
"12" 458.0077734375 6552.10717773438 -9.06271650568596 -19.4107394881139 43.9870263894815 0.0118444408290088 2.25278230245209 39.7454459107149 -1.44032150506973 -1.73219573497772
"13" 430.198125 7034.47827148438 -11.6943874622579 -23.3402600885494 40.0287177288801 0.0121842157095671 2.44537397765487 4.24307092814144 -0.180826276540756 -2.43867909908295
"14" 403.820078125 7516.84936523438 -14.2521832705752 -27.7904279710726 34.8822296937394 0.00620535656344146 3.32463713748295 338.578358481647 1.21413546800613 -3.09501004219055
"15" 378.8097265625 7999.220703125 -16.9672249070613 -34.4522509161199 25.9657208182787 -0.00188633019570261 3.55854476288092 303.799904115812 2.95704054832458 -1.97968482971191
